status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
not_usable,inclined,2682.875,401,129.6351336,2724.0,16805.26786,11116.875,1704,543.3831685,11252.5,295265.2679,4856.875,694,222.2742434,4907.5,49405.83929,14338.0,2197,696.3742836,14468.0,484937.1429,20525.0,4584,1494.791242,21004.0,2234400.857,23702.875,4913,1606.5141,24219.0,2580887.554,22718.375,4315,1430.848992,23267.0,2047328.839,11926.5,2183,723.7539045,12196.0,523819.7143,3126.875,596,192.4989332,3170.5,37055.83929
not_usable,moving,2258.0,1300,484.1959462,2394.5,234445.7143,9271.0,5503,2064.002422,9917.0,4260106.0,4084.0,2385,894.1166431,4364.5,799444.5714,12102.375,6916,2568.090783,12846.0,6595090.268,17983.0,7456,3141.385227,19288.0,9868301.143,20819.125,8712,3703.27436,22386.5,13714240.98,19946.125,8478,3655.535507,21527.5,13362939.84,10506.375,4382,1889.253211,11327.5,3569277.696,2788.75,974,410.6624439,2978.5,168643.6429
not_usable,moving,1841.25,817,265.9042524,1760.0,70705.07143,7445.25,3462,1127.296228,7105.5,1270796.786,3295.875,1484,483.098463,3147.0,233384.125,9855.125,4241,1380.315848,9424.5,1905271.839,14563.25,5076,1696.259983,14034.0,2877297.929,16808.25,6056,2030.028483,16182.5,4121015.643,15982.625,6241,2091.427943,15339.0,4374070.839,8451.125,3251,1088.711747,8119.0,1185293.268,2348.375,711,238.0107666,2266.0,56649.125
not_usable,inclined,1658.25,149,53.71286092,1667.5,2885.071429,6652.25,595,214.8951572,6688.5,46179.92857,2964.125,263,95.13815143,2980.0,9051.267857,8901.25,820,295.9863655,8960.5,87607.92857,13277.375,1418,547.602029,13428.0,299867.9821,15315.625,1551,603.540965,15461.5,364261.6964,14467.75,1401,555.0795953,14593.0,308113.3571,7665.125,720,284.3983311,7729.0,80882.41071,2169.5,177,68.75006494,2193.5,4726.571429
not_usable,moving,1953.0,830,322.1317388,1804.5,103768.8571,7922.5,3696,1436.092019,7250.0,2062360.286,3509.375,1540,599.5667334,3234.0,359480.2679,10423.25,4121,1600.353153,9697.5,2561130.214,15160.875,5978,2244.530205,14324.0,5037915.839,17652.75,7591,2836.985007,16497.5,8048483.929,16874.125,7979,2983.102002,15574.0,8898897.554,8910.375,4143,1551.802449,8231.5,2408090.839,2433.0,877,324.7671693,2314.0,105473.7143
not_usable,inclined,1654.25,216,75.71327493,1656.0,5732.5,6721.25,939,326.6149983,6728.0,106677.3571,2983.5,409,142.0724161,2987.5,20184.57143,8811.0,1161,404.4721428,8846.5,163597.7143,12777.25,1161,345.6578614,12796.5,119479.3571,14884.5,1221,366.9581525,14910.0,134658.2857,14264.25,1093,352.2287203,14210.0,124065.0714,7551.625,558,181.0887213,7520.5,32793.125,2116.375,164,50.58214677,2122.0,2558.553571
not_usable,inclined,1689.5,105,30.07134374,1686.5,904.2857143,6870.75,458,130.7983726,6853.0,17108.21429,3045.125,201,57.33470029,3038.0,3287.267857,8994.375,534,157.1777315,8991.5,24704.83929,13312.125,624,218.9555973,13357.0,47941.55357,15461.375,659,223.9081046,15526.5,50134.83929,14821.0,626,203.8760127,14833.0,41565.42857,7836.5,327,105.0632463,7842.0,11038.28571,2152.125,79,29.4154357,2156.5,865.2678571
not_usable,moving,2018.25,1447,498.9960635,1755.0,248997.0714,8273.0,6053,2093.105553,7172.5,4381090.857,3643.375,2546,884.3169984,3171.5,782016.5536,10750.5,7575,2631.607711,9318.0,6925359.143,16135.625,10771,4235.803919,14385.0,17942034.84,18746.125,12599,4875.95756,16647.5,23774962.13,17928.5,11987,4585.509506,15875.5,21026897.43,9442.875,6157,2349.207066,8396.0,5518773.839,2521.0,1460,584.8076607,2271.5,342000.0
not_usable,moving,2937.375,859,278.0724148,2964.5,77324.26786,12241.375,3797,1220.292932,12317.0,1489114.839,5346.375,1514,493.1299271,5378.5,243177.125,15614.75,4347,1418.880822,15775.5,2013222.786,21431.25,10009,3545.744119,22802.0,12572301.36,25173.25,11225,4069.409776,26738.0,16560095.93,24396.0,10665,3884.089266,25812.0,15086149.43,12774.375,5387,1990.735036,13486.5,3963025.982,3409.625,1212,483.2222019,3573.5,233503.6964
not_usable,moving,2518.75,854,338.5484772,2412.5,114615.0714,10508.125,3694,1444.70199,10077.5,2087163.839,4593.125,1614,634.5546104,4409.0,402659.5536,13444.25,4606,1804.466423,12891.0,3256099.071,20301.5,9331,3709.814166,19909.0,13762721.14,23799.75,10946,4265.069443,23315.5,18190817.36,23041.75,10809,4106.990408,22521.0,16867370.21,12101.75,5598,2105.377791,11816.0,4432615.643,3396.5,1435,477.9494893,3334.5,228435.7143
not_usable,moving,2397.0,854,306.5191674,2388.0,93954.0,9919.75,3479,1239.476589,9960.5,1536302.214,4365.0,1442,515.8607232,4395.5,266112.2857,12799.875,4288,1531.957705,12829.5,2346894.411,16599.125,9786,3421.922327,16441.5,11709552.41,19384.125,10828,3872.957985,19218.5,14999803.55,18783.125,9897,3662.671134,18652.0,13415159.84,9940.25,5094,1873.876254,9944.5,3511412.214,2787.125,1208,406.438341,2841.0,165192.125
not_usable,moving,1931.125,2971,1206.764912,2439.5,1456281.554,7953.625,12262,4982.377686,10057.0,24824087.41,3486.5,5313,2170.025082,4426.0,4709008.857,10219.125,15732,6402.422096,12968.0,40991008.7,13185.875,21231,9799.602535,19453.5,96032209.84,15224.625,24658,11316.73571,22454.5,128068507.1,14620.125,23718,10841.1276,21537.0,117530047.6,7687.375,12432,5704.346587,11333.0,32539569.98,2074.125,3199,1495.253198,3067.0,2235782.125
not_usable,moving,328.5,668,340.3460424,302.5,115835.4286,1070.5,2246,1126.920203,940.5,1269949.143,419.375,825,416.2461283,386.5,173260.8393,1277.125,2674,1346.878342,1146.0,1814081.268,2125.875,4001,1819.921461,2238.5,3312114.125,2301.875,4257,1927.793293,2626.0,3716386.982,2122.75,3738,1687.113914,2642.5,2846353.357,1170.25,2079,941.6198429,1458.0,886647.9286,335.5,590,264.6987506,351.0,70065.42857
usable,right,2494.25,100,28.14630146,2494.5,792.2142857,9986.625,392,111.1638912,9986.0,12357.41071,4471.375,162,45.41849057,4471.5,2062.839286,13109.5,433,135.707669,13139.5,18416.57143,19053.75,929,311.5774382,18986.5,97080.5,22993.875,956,323.6803703,22951.0,104768.9821,22624.375,973,293.726762,22647.0,86275.41071,11824.875,501,144.4135307,11822.5,20855.26786,3055.375,110,38.37758833,3046.0,1472.839286
usable,right,2683.375,73,29.60182186,2687.5,876.2678571,10780.125,302,127.3459153,10792.5,16216.98214,4787.25,122,49.32038118,4793.0,2432.5,14012.25,371,134.1105621,14048.0,17985.64286,20037.75,659,191.0704806,20057.5,36507.92857,24065.5,616,182.4492102,24090.5,33287.71429,23690.0,476,171.4859428,23766.5,29407.42857,12332.625,235,83.01107929,12367.5,6890.839286,3170.0,74,23.22560164,3177.0,539.4285714
usable,right,2657.25,167,56.59568383,2666.0,3203.071429,10665.625,729,253.9369649,10712.0,64483.98214,4753.375,261,87.82114535,4769.5,7712.553571,13918.125,712,225.2772498,13954.0,50749.83929,19865.625,833,256.0200536,19927.0,65546.26786,23781.375,1009,305.7178613,23809.5,93463.41071,23315.875,1199,405.4547491,23362.0,164393.5536,12167.375,544,180.5245828,12184.5,32589.125,3154.875,99,30.30529185,3159.5,918.4107143
not_usable,moving,2229.75,928,395.5635221,2251.5,156470.5,8923.375,3714,1585.427111,9002.0,2513579.125,4021.375,1607,683.001974,4071.0,466491.6964,11848.5,4643,1960.117198,11989.0,3842059.429,16884.5,6461,2642.725217,16982.5,6983996.571,20213.125,7664,3136.068988,20350.5,9834928.696,19774.75,7434,3038.056651,19962.0,9229788.214,10382.75,3779,1548.867582,10492.0,2398990.786,2802.0,780,321.1457168,2822.5,103134.5714
not_usable,moving,2459.375,956,403.3420872,2669.0,162684.8393,9816.25,3793,1598.036273,10644.0,2553719.929,4403.0,1614,686.1819834,4756.0,470845.7143,12849.875,4556,1944.238333,13834.0,3780062.696,18885.25,5956,2109.508186,19870.5,4450024.786,22746.375,7040,2498.858422,23927.5,6244293.411,22513.875,7028,2470.794345,23641.0,6104824.696,11761.625,3548,1245.030801,12333.0,1550101.696,3041.375,690,243.1001778,3156.0,59097.69643
usable,right,2737.5,61,22.53251619,2744.5,507.7142857,10948.0,235,88.4049126,10972.0,7815.428571,4871.5,96,36.45741155,4881.5,1329.142857,14109.875,286,107.1346783,14145.5,11477.83929,19930.0,761,245.9628311,19960.0,60497.71429,23973.0,854,279.4714399,24017.0,78104.28571,23885.25,764,248.4964788,23926.0,61750.5,12447.875,388,126.214599,12468.5,15930.125,3174.125,79,24.85637314,3177.5,617.8392857
not_usable,moving,2291.625,500,204.0538707,2277.5,41637.98214,9191.25,2000,801.699935,9154.5,642722.7857,4168.375,878,341.533072,4170.0,116644.8393,12170.125,2430,916.7394765,12196.0,840411.2679,16933.25,10346,3270.232397,17907.5,10694419.93,20381.875,12466,3940.513253,21538.5,15527644.7,20064.875,12316,3922.667986,21170.0,15387324.13,10530.125,6351,2023.180342,11111.0,4093258.696,2777.5,1214,385.9363382,2890.0,148946.8571
